# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.366330598727e-10       4.225417728245e-15       3.882625878294e-13       0.000000000000e+00       8.069000699074e-09       4.087280816909e-10      -1.851603606555e-12 
    3       1.286448789456e-10       5.378876528431e-15       4.248310577551e-13       0.000000000000e+00       4.939262651992e-09       2.892027623702e-10      -1.403978873343e-12 
    4       1.215144307907e-10       4.632713498655e-15       3.884432260729e-13       0.000000000000e+00       3.421680830695e-09       2.183345180846e-10      -9.217710979497e-13 
    5       1.163521818523e-10       3.078844034590e-15       3.239232704776e-13       0.000000000000e+00       2.547672289554e-09       1.718560128055e-10      -5.160562404794e-13 
    6       1.129141652756e-10       1.711967709511e-15       2.557510324280e-13       0.000000000000e+00       1.986204975411e-09       1.393177093475e-10      -2.173835522511e-13 
    7       1.107725329393e-10       9.154960535453e-16       1.973413433300e-13       0.000000000000e+00       1.599610439737e-09       1.155178558543e-10      -2.699550475063e-14 
    8       1.095884507006e-10       5.830130245122e-16       1.539418455796e-13       0.000000000000e+00       1.319969001659e-09       9.753374337600e-11       7.021596827091e-14 
    9       1.091012044826e-10       4.653155717894e-16       1.260281035655e-13       0.000000000000e+00       1.109991271800e-09       8.357711428582e-11       9.767696269434e-14 
   10       1.091092250484e-10       3.981711731972e-16       1.114741467178e-13       0.000000000000e+00       9.476150586070e-10       7.251801501836e-11       8.123763856300e-14 
   11       1.095215700968e-10       3.386082235452e-16       1.069877726244e-13       0.000000000000e+00       8.117790293827e-10       6.438862610578e-11       4.500162113085e-14 
