# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.366335232609e-10       4.225644405309e-15       3.882625840649e-13       2.266770082536e-19       8.069000699074e-09       4.087280816909e-10      -1.851603606555e-12 
    3       1.286458034286e-10       5.379329967689e-15       4.248310409662e-13       4.534387068991e-19       4.939262651992e-09       2.892027623702e-10      -1.403978873343e-12 
    4       1.215159665626e-10       4.633469419378e-15       3.884431777844e-13       7.559180167586e-19       3.421680830695e-09       2.183345180846e-10      -9.217710979497e-13 
    5       1.163544762237e-10       3.079978267952e-15       3.239231603374e-13       1.134224096294e-18       2.547672289554e-09       1.718560128055e-10      -5.160562404794e-13 
    6       1.129173620975e-10       1.713556224994e-15       2.557508155457e-13       1.588490221952e-18       1.986204975411e-09       1.393177093475e-10      -2.173835522511e-13 
    7       1.107767721161e-10       9.176149840814e-16       1.973409578044e-13       2.118871782574e-18       1.599610439737e-09       1.155178558543e-10      -2.699550475063e-14 
    8       1.095938678022e-10       5.857386899063e-16       1.539412102480e-13       2.725543977656e-18       1.319969001659e-09       9.753374337600e-11       7.021596827091e-14 
    9       1.091079304630e-10       4.687244998976e-16       1.260271159974e-13       3.408699271937e-18       1.109991271800e-09       8.357711428582e-11       9.767696269434e-14 
   10       1.091173860738e-10       4.023401182684e-16       1.114726814739e-13       4.168544663758e-18       9.476150586070e-10       7.251801501836e-11       8.123763856300e-14 
   11       1.095312874830e-10       3.436141810795e-16       1.069856797929e-13       5.005298828032e-18       8.117790293827e-10       6.438862610578e-11       4.500162113085e-14 
   12       1.102531474274e-10       3.056564492272e-16       1.091443510151e-13       5.919189196474e-18       7.095249436041e-10       5.686762440507e-11       6.260728588942e-15 
   13       1.112054514699e-10       2.976318199313e-16       1.150211736717e-13       6.910449037836e-18       6.255503644067e-10       5.073459782324e-11      -2.308717570073e-14 
   14       1.123158761214e-10       3.112677884156e-16       1.225814112716e-13       7.979314599353e-18       5.556609551738e-10       4.535467202033e-11      -3.878663062228e-14 
   15       1.135987195881e-10       3.356822841451e-16       1.306736258115e-13       9.126022367463e-18       4.968186518541e-10       4.084476109045e-11      -4.110771591238e-14 
   16       1.150300108962e-10       3.695259137604e-16       1.387947683106e-13       1.035080650120e-17       4.467745438546e-10       3.700638210032e-11      -3.401911859963e-14 
   17       1.165500150093e-10       4.190709814343e-16       1.468672991304e-13       1.165389648569e-17       4.038335552950e-10       3.368619779971e-11      -2.268806721631e-14 
   18       1.181498349677e-10       4.901800780440e-16       1.552181574273e-13       1.303551496421e-17       3.665581246393e-10       3.074577605941e-11      -1.202120154417e-14 
   19       1.198430837643e-10       5.833299640890e-16       1.641015974992e-13       1.449587635257e-17       3.343472519064e-10       2.816713377692e-11      -4.582024079693e-15 
   20       1.215926054469e-10       6.965010286522e-16       1.736719340818e-13       1.603518444388e-17       3.059749894363e-10       2.591135628239e-11      -1.994929778090e-15 
   21       1.234101286084e-10       8.286977329403e-16       1.838382623602e-13       1.765363257772e-17       2.809957881325e-10       2.393570218217e-11      -3.629706852550e-15 
