# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.384411152618e-10       4.389240942312e-15       3.949575670067e-13       0.000000000000e+00       8.028413694074e-09       4.167091564708e-10      -1.890201307612e-12 
    3       1.301159446309e-10       5.698685082811e-15       4.359932339275e-13       0.000000000000e+00       4.928474047042e-09       2.947016647524e-10      -1.451016968346e-12 
    4       1.226957510355e-10       5.014082888739e-15       4.019122013414e-13       0.000000000000e+00       3.416289704659e-09       2.223315369366e-10      -9.680913266173e-13 
    5       1.173083827871e-10       3.407123218491e-15       3.376306475869e-13       0.000000000000e+00       2.543541924539e-09       1.748877172924e-10      -5.559873637935e-13 
    6       1.136891805459e-10       1.928704945984e-15       2.682766706146e-13       0.000000000000e+00       1.982452095002e-09       1.417343924374e-10      -2.470353932618e-13 
    7       1.114430647935e-10       1.031655528713e-15       2.078185256514e-13       0.000000000000e+00       1.596060335281e-09       1.175355267669e-10      -4.479291028680e-14 
    8       1.101418791749e-10       6.434189764343e-16       1.620661034515e-13       0.000000000000e+00       1.316744796347e-09       9.922903873140e-11       6.362896685043e-14 
    9       1.095657235776e-10       5.078896674581e-16       1.319146796925e-13       0.000000000000e+00       1.107224454814e-09       8.497211338110e-11       9.989559060032e-14 
   10       1.095232155488e-10       4.373466944455e-16       1.154965653440e-13       0.000000000000e+00       9.453094891865e-10       7.366417680117e-11       8.885081483713e-14 
   11       1.098657957899e-10       3.728047395917e-16       1.097146591980e-13       0.000000000000e+00       8.096067226176e-10       6.534518722965e-11       5.434486769674e-14 
   12       1.105647788699e-10       3.256353709713e-16       1.111182034590e-13       0.000000000000e+00       7.075715646161e-10       5.778884676939e-11       1.448984208431e-14 
   13       1.114810986043e-10       3.099887136889e-16       1.166559689849e-13       0.000000000000e+00       6.237814350406e-10       5.148749657069e-11      -1.805525625090e-14 
   14       1.125497281830e-10       3.200899499243e-16       1.241670861913e-13       0.000000000000e+00       5.540493023548e-10       4.603444331602e-11      -3.748274724565e-14 
   15       1.137996860624e-10       3.429307114534e-16       1.322986546642e-13       0.000000000000e+00       4.953426159991e-10       4.145601735609e-11      -4.306754559845e-14 
   16       1.152203967053e-10       3.740080721211e-16       1.403878809699e-13       0.000000000000e+00       4.454162241167e-10       3.758672071035e-11      -3.801851976285e-14 
   17       1.166996425752e-10       4.186803957515e-16       1.483933089452e-13       0.000000000000e+00       4.025786470603e-10       3.423527696299e-11      -2.727038080763e-14 
   18       1.182824731230e-10       4.844127150502e-16       1.565162199379e-13       0.000000000000e+00       3.653947314364e-10       3.123549781041e-11      -1.588430298297e-14 
   19       1.199820672000e-10       5.729371161953e-16       1.650270511576e-13       0.000000000000e+00       3.332645753702e-10       2.857948664294e-11      -6.846548050121e-15 
   20       1.217299623762e-10       6.831161235147e-16       1.741816663279e-13       0.000000000000e+00       3.049647914341e-10       2.624935210552e-11      -2.417258675530e-15 
   21       1.235383942933e-10       8.135235463421e-16       1.839695007437e-13       0.000000000000e+00       2.800506118471e-10       2.422502441820e-11      -2.488441837203e-15 
   22       1.254132382178e-10       9.622939945516e-16       1.942085879920e-13       0.000000000000e+00       2.579222680584e-10       2.244692949809e-11      -5.732591784522e-15 
   23       1.273461793796e-10       1.129540623863e-15       2.045679282755e-13       0.000000000000e+00       2.382836503501e-10       2.086504207840e-11      -1.047138793711e-14 
   24       1.293060923577e-10       1.315743966595e-15       2.146076086358e-13       0.000000000000e+00       2.206865572043e-10       1.941479724400e-11      -1.473697700992e-14 
   25       1.313040765024e-10       1.520684031907e-15       2.239553260595e-13       0.000000000000e+00       2.048924999148e-10       1.808732155270e-11      -1.746092887762e-14 
   26       1.333501948349e-10       1.744108129433e-15       2.322702902999e-13       0.000000000000e+00       1.905926137984e-10       1.688010238074e-11      -1.797664366884e-14 
   27       1.354518293788e-10       1.987626999985e-15       2.394602599179e-13       0.000000000000e+00       1.777128027106e-10       1.579213733754e-11      -1.657581745574e-14 
   28       1.375973834652e-10       2.253720570250e-15       2.455350026542e-13       0.000000000000e+00       1.660969732444e-10       1.480987647103e-11      -1.404387971852e-14 
   29       1.397610531320e-10       2.544961972653e-15       2.505416369645e-13       0.000000000000e+00       1.554630662389e-10       1.390941852653e-11      -1.131989770658e-14 
   30       1.419481952153e-10       2.862714892026e-15       2.545512223456e-13       0.000000000000e+00       1.457524531602e-10       1.308793636752e-11      -8.956846277664e-15 
   31       1.441643468485e-10       3.207920714415e-15       2.576725926192e-13       0.000000000000e+00       1.368930529916e-10       1.234255749789e-11      -7.467337947319e-15 
   32       1.464067056250e-10       3.581424282656e-15       2.600088568377e-13       0.000000000000e+00       1.287447069903e-10       1.166381177432e-11      -7.281338919784e-15 
   33       1.486808788392e-10       3.983991482089e-15       2.614815888712e-13       0.000000000000e+00       1.212630513490e-10       1.104424297782e-11      -8.092013753079e-15 
   34       1.509880707646e-10       4.416280979988e-15       2.619404565811e-13       0.000000000000e+00       1.143818558672e-10       1.047164015695e-11      -9.255220855265e-15 
   35       1.533234622883e-10       4.878912671107e-15       2.612243664791e-13       0.000000000000e+00       1.079987287295e-10       9.931047522293e-12      -1.010504608025e-14 
   36       1.556897323121e-10       5.372754576202e-15       2.592228134436e-13       0.000000000000e+00       1.020971010203e-10       9.421914229864e-12      -1.050354712855e-14 
   37       1.580866543308e-10       5.898727152126e-15       2.558337135632e-13       0.000000000000e+00       9.665846624623e-11       8.946203791807e-12      -1.047496838256e-14 
   38       1.605064966576e-10       6.457724667485e-15       2.509463479433e-13       0.000000000000e+00       9.162549947520e-11       8.503548055931e-12      -1.006204349048e-14 
   39       1.629387063875e-10       7.050578409191e-15       2.444679862013e-13       0.000000000000e+00       8.692273042120e-11       8.091941103954e-12      -9.338138051238e-15 
   40       1.653878233696e-10       7.677936224296e-15       2.364162159160e-13       0.000000000000e+00       8.253575323092e-11       7.710683978712e-12      -8.445010626783e-15 
   41       1.678603388446e-10       8.340338451414e-15       2.268570378331e-13       0.000000000000e+00       7.845303070287e-11       7.358045949581e-12      -7.570438818691e-15 
   42       1.703593654165e-10       9.038244454351e-15       2.158817555443e-13       0.000000000000e+00       7.464226007021e-11       7.030254724770e-12      -6.940971059341e-15 
   43       1.728856261913e-10       9.772088606638e-15       2.035744398962e-13       0.000000000000e+00       7.106231967571e-11       6.722740407628e-12      -6.758638244535e-15 
   44       1.754416983972e-10       1.054248034790e-14       1.898987538530e-13       0.000000000000e+00       6.770769411208e-11       6.434729032473e-12      -6.982009148840e-15 
   45       1.780284471189e-10       1.135005850633e-14       1.747782907096e-13       0.000000000000e+00       6.457495972970e-11       6.165798005164e-12      -7.480779143072e-15 
   46       1.806434807559e-10       1.219543512035e-14       1.581268180401e-13       0.000000000000e+00       6.164944616062e-11       5.914512343073e-12      -8.093663382861e-15 
   47       1.832808551921e-10       1.307919453918e-14       1.398475810729e-13       0.000000000000e+00       5.890435949977e-11       5.678346114694e-12      -8.626566288197e-15 
   48       1.859338551342e-10       1.400184218228e-14       1.198502545475e-13       0.000000000000e+00       5.630902927945e-11       5.454421415031e-12      -8.904063499084e-15 
