# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.384415743052e-10       4.389465839714e-15       3.949575632346e-13       2.248973481678e-19       8.028413694074e-09       4.167091564708e-10      -1.890201307612e-12 
    3       1.301168604599e-10       5.699134966707e-15       4.359932171056e-13       4.498833589777e-19       4.928474047042e-09       2.947016647524e-10      -1.451016968346e-12 
    4       1.226972724617e-10       5.014832892431e-15       4.019121529623e-13       7.500010564842e-19       3.416289704659e-09       2.223315369366e-10      -9.680913266173e-13 
    5       1.173106557821e-10       3.408248591840e-15       3.376305372523e-13       1.125364326798e-18       2.543541924539e-09       1.748877172924e-10      -5.559873637935e-13 
    6       1.136923476731e-10       1.930281082469e-15       2.682764533775e-13       1.576111888453e-18       1.982452095002e-09       1.417343924374e-10      -2.470353932618e-13 
    7       1.114472647264e-10       1.033757990922e-15       2.078181395530e-13       2.102405006702e-18       1.596060335281e-09       1.175355267669e-10      -4.479291028680e-14 
    8       1.101472463132e-10       6.461235195165e-16       1.620654672834e-13       2.704424885369e-18       1.316744796347e-09       9.922903873140e-11       6.362896685043e-14 
    9       1.095723877669e-10       5.112722599938e-16       1.319136910094e-13       3.382369802794e-18       1.107224454814e-09       8.497211338110e-11       9.989559060032e-14 
   10       1.095313019083e-10       4.414835361635e-16       1.154950987453e-13       4.136452063985e-18       9.453094891865e-10       7.366417680117e-11       8.885081483713e-14 
   11       1.098754246461e-10       3.777722753069e-16       1.097125648933e-13       4.966894844525e-18       8.096067226176e-10       6.534518722965e-11       5.434486769674e-14 
