# Matter power spectrum P(k) at redshift z=0
# for k=1.02324e-05 to 5.25887 h/Mpc,
# number of wavenumbers equal to 557
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.023244295104e-05       5.296947996917e+01 
       2.284890654749e-05       1.148805935375e+02 
       3.550793123283e-05       1.756914841061e+02 
       4.824218970665e-05       2.360536713608e+02 
       6.108487323207e-05       2.963346474543e+02 
       7.406997560804e-05       3.568078137180e+02 
       8.723258586752e-05       4.177055456041e+02 
       1.006091934486e-04       4.792407612204e+02 
       1.142380096143e-04       5.416180681424e+02 
       1.281593089300e-04       6.050403047794e+02 
       1.424157946172e-04       6.697130747746e+02 
       1.570529915673e-04       7.358482563108e+02 
       1.721196706702e-04       8.036669398540e+02 
       1.876683078345e-04       8.734020749645e+02 
       2.037555805830e-04       9.453008645487e+02 
       2.204429042816e-04       1.019627582312e+03 
       2.377970087898e-04       1.096665516165e+03 
       2.558905544229e-04       1.176719904436e+03 
       2.748027833867e-04       1.260120280178e+03 
       2.946201990279e-04       1.347222911295e+03 
       3.154372600358e-04       1.438413002962e+03 
       3.373570698017e-04       1.534107520280e+03 
       3.604920321775e-04       1.634756440216e+03 
       3.849644336020e-04       1.740844286754e+03 
       4.109068978981e-04       1.852891004144e+03 
       4.384626442194e-04       1.971451382569e+03 
       4.677854614184e-04       2.097113043547e+03 
       4.990392951342e-04       2.230492881618e+03 
       5.323973298850e-04       2.372231224701e+03 
       5.680404415098e-04       2.522982162712e+03 
       6.061549009157e-04       2.683402504594e+03 
       6.469292346959e-04       2.854135091416e+03 
       6.905501980329e-04       3.035791293720e+03 
       7.371978944121e-04       3.228926274449e+03 
       7.870401840340e-04       3.434017079063e+03 
       8.402266494516e-04       3.651435066170e+03 
       8.968825141916e-04       3.881422723251e+03 
       9.571030106557e-04       4.124071267448e+03 
       1.020948736907e-03       4.379305050842e+03 
       1.088442503425e-03       4.646873209563e+03 
       1.159568042359e-03       4.926350111629e+03 
       1.234270748333e-03       5.217144922605e+03 
       1.312460378975e-03       5.518520673230e+03 
       1.394015414894e-03       5.829578912236e+03 
       1.478788609363e-03       6.149403801302e+03 
       1.566613176324e-03       6.476987141446e+03 
       1.657309075662e-03       6.811287837970e+03 
       1.750688939047e-03       7.151262401857e+03 
       1.846563307230e-03       7.495887535781e+03 
