# Matter power spectrum P(k) at redshift z=0
# for k=1.0298e-05 to 5.18431 h/Mpc,
# number of wavenumbers equal to 556
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.029801363171e-05       5.149373830096e+01 
       2.300404915253e-05       1.118276346029e+02 
       3.575353906224e-05       1.711330228522e+02 
       4.857985946176e-05       2.300310777760e+02 
       6.151692350615e-05       2.888754976611e+02 
       7.459947567219e-05       3.479315468718e+02 
       8.786339518956e-05       4.074259440384e+02 
       1.013460125710e-04       4.675675616535e+02 
       1.150864432074e-04       5.285578319779e+02 
       1.291259420265e-04       5.905970648650e+02 
       1.435082832234e-04       6.538887850977e+02 
       1.582801690288e-04       7.186433441489e+02 
       1.734916713350e-04       7.850804743111e+02 
       1.891967096956e-04       8.534321424569e+02 
       2.054535686688e-04       9.239450485132e+02 
       2.223254565704e-04       9.968828657946e+02 
       2.398811063093e-04       1.072529145831e+03 
       2.581954169005e-04       1.151189472379e+03 
       2.773501312642e-04       1.233194113218e+03 
       2.974345417438e-04       1.318900295828e+03 
       3.185462090832e-04       1.408695066498e+03 
       3.407916730449e-04       1.502997081747e+03 
       3.642871230795e-04       1.602258622784e+03 
       3.891589852149e-04       1.706966954335e+03 
       4.155443665552e-04       1.817644743845e+03 
       4.435912817875e-04       1.934849448483e+03 
       4.734585678349e-04       2.059171367870e+03 
       5.053153751567e-04       2.191229401810e+03 
       5.393401103361e-04       2.331664474748e+03 
       5.757186991592e-04       2.481130486573e+03 
       6.146420484759e-04       2.640280242619e+03 
       6.563026157135e-04       2.809751081759e+03 
       7.008900533993e-04       2.990143311393e+03 
       7.485859859340e-04       3.181997635325e+03 
       7.995580945578e-04       3.385770906023e+03 
       8.539538222619e-04       3.601808974435e+03 
       9.118941411024e-04       3.830323431553e+03 
       9.734679193668e-04       4.071371095855e+03 
       1.038727453165e-03       4.324838860907e+03 
       1.107685663161e-03       4.590437777603e+03 
       1.180315299226e-03       4.867705681598e+03 
       1.256550266369e-03       5.156019355692e+03 
       1.336288929279e-03       5.454606682331e+03 
       1.419399024190e-03       5.762564092053e+03 
       1.505723651568e-03       6.078962168240e+03 
       1.595087765082e-03       6.402788468352e+03 
       1.687304608658e-03       6.733007539530e+03 
       1.782181659606e-03       7.068589022209e+03 
       1.879525777494e-03       7.408528765066e+03 
       1.979147402774e-03       7.751865725785e+03 
       2.080863772513e-03       8.097695708059e+03 
       2.184501211140e-03       8.445178835347e+03 
       2.289896610068e-03       8.793543857224e+03 
       2.396898236093e-03       9.142089590914e+03 
       2.505366012300e-03       9.490183972641e+03 
       2.615171404775e-03       9.837261320573e+03 
       2.726197030306e-03       1.018281854453e+04 
       2.838336079454e-03       1.052641059656e+04 
       2.951491628964e-03       1.086764600484e+04 
       3.065575899206e-03       1.120618143808e+04 
       3.180509497003e-03       1.154171806474e+04 
       3.296220671808e-03       1.187399666577e+04 
       3.412644603681e-03       1.220279143419e+04 
       3.529722734308e-03       1.252791067307e+04 
       3.647402147090e-03       1.284918821894e+04 
       3.765634998648e-03       1.316648476481e+04 
       3.884378001585e-03       1.347968216321e+04 
       4.003591956682e-03       1.378868468633e+04 
       4.123241331724e-03       1.409340865662e+04 
       4.243293883603e-03       1.439378925722e+04 
       4.363720320080e-03       1.468977593200e+04 
       4.484493997602e-03       1.498132700637e+04 
       4.605590651627e-03       1.526841228494e+04 
       4.726988156165e-03       1.555100300069e+04 
       4.848666309417e-03       1.582908837597e+04 
       4.970606642700e-03       1.610268971123e+04 
       5.092792250086e-03       1.637178254854e+04 
       5.215207636447e-03       1.663638149964e+04 
       5.337838581828e-03       1.689649070960e+04 
       5.460672020315e-03       1.715212618362e+04 
       5.583695931747e-03       1.740330711936e+04 
       5.706899244829e-03       1.765004858162e+04 
       5.830271750344e-03       1.789238572119e+04 
