# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.375222185541e-10       4.154465835744e-15       3.536460390600e-13       0.000000000000e+00       8.328295602263e-09       4.492237304581e-10      -1.843162407897e-12 
    3       1.302188114046e-10       5.319447024519e-15       3.965031853108e-13       0.000000000000e+00       5.100495096902e-09       3.176712013449e-10      -1.395155267607e-12 
    4       1.233114620531e-10       4.598226098847e-15       3.703425985452e-13       0.000000000000e+00       3.528617920089e-09       2.400627343313e-10      -9.131298108162e-13 
    5       1.181404198480e-10       3.065569731164e-15       3.151110629049e-13       0.000000000000e+00       2.623649115640e-09       1.893238120672e-10      -5.076000716112e-13 
    6       1.146010336219e-10       1.712862483287e-15       2.535857298603e-13       0.000000000000e+00       2.042949285356e-09       1.538257760825e-10      -2.090087562978e-13 
    7       1.123065179343e-10       9.245991746979e-16       1.989704091224e-13       0.000000000000e+00       1.643744960557e-09       1.278071076386e-10      -1.872394136182e-14 
    8       1.109785713325e-10       5.956870892580e-16       1.570349556525e-13       0.000000000000e+00       1.355344360907e-09       1.081035019468e-10       7.825848978154e-14 
    9       1.103716965583e-10       4.774732350726e-16       1.290086818952e-13       0.000000000000e+00       1.138986437302e-09       9.283431242035e-11       1.053074805880e-13 
   10       1.102640144671e-10       4.065452587821e-16       1.135484541333e-13       0.000000000000e+00       9.718286076219e-10       8.075086977859e-11       8.828862224737e-14 
   11       1.105932244990e-10       3.416150402891e-16       1.079783507411e-13       0.000000000000e+00       8.315343630449e-10       7.173678979155e-11       5.128697963477e-14 
   12       1.112161168670e-10       2.978673124639e-16       1.092344333867e-13       0.000000000000e+00       7.264195553211e-10       6.343262154260e-11       1.182604127962e-14 
   13       1.120812692559e-10       2.859699732052e-16       1.146141388864e-13       0.000000000000e+00       6.401397533899e-10       5.669358719560e-11      -1.817229895198e-14 
   14       1.131353832847e-10       2.979929322871e-16       1.220887254623e-13       0.000000000000e+00       5.683666529351e-10       5.080709127778e-11      -3.451139000226e-14 
   15       1.143715300726e-10       3.224424131202e-16       1.303566011136e-13       0.000000000000e+00       5.079658225394e-10       4.586468385607e-11      -3.737902955424e-14 
   16       1.157218864436e-10       3.570534834064e-16       1.387776149388e-13       0.000000000000e+00       4.566186231791e-10       4.161208357063e-11      -3.072531162386e-14 
   17       1.172030401712e-10       4.072531698740e-16       1.472101562928e-13       0.000000000000e+00       4.125775061666e-10       3.790501071031e-11      -1.973337817434e-14 
   18       1.187573312782e-10       4.782745451255e-16       1.558020695683e-13       0.000000000000e+00       3.743618150104e-10       3.466507631273e-11      -9.297403839500e-15 
   19       1.203964949897e-10       5.704813286671e-16       1.647559169513e-13       0.000000000000e+00       3.413516339968e-10       3.184970710727e-11      -1.998322074984e-15 
   20       1.221102659038e-10       6.819862577174e-16       1.742472533799e-13       0.000000000000e+00       3.122852947211e-10       2.935661000871e-11       4.945154079825e-16 
   21       1.239016882572e-10       8.121183826660e-16       1.842551712056e-13       0.000000000000e+00       2.867035258749e-10       2.713984852369e-11      -1.225962814237e-15 
   22       1.257476667320e-10       9.603259277498e-16       1.946120160324e-13       0.000000000000e+00       2.639885139772e-10       2.513854530409e-11      -5.396071369127e-15 
   23       1.276529626071e-10       1.126865668669e-15       2.049685272217e-13       0.000000000000e+00       2.438348094170e-10       2.334099778045e-11      -1.029321572552e-14 
   24       1.296090135753e-10       1.312083634601e-15       2.148750520416e-13       0.000000000000e+00       2.257808768665e-10       2.172874580597e-11      -1.409744376227e-14 
   25       1.316116295815e-10       1.516189085932e-15       2.240389314412e-13       0.000000000000e+00       2.095808336670e-10       2.028322925288e-11      -1.600598310003e-14 
   26       1.336452510928e-10       1.739497841163e-15       2.322267869374e-13       0.000000000000e+00       1.949166668000e-10       1.897293639328e-11      -1.568836546787e-14 
   27       1.357194818282e-10       1.983603262611e-15       2.393679455625e-13       0.000000000000e+00       1.817117436609e-10       1.778830048418e-11      -1.365237472945e-14 
   28       1.378361764331e-10       2.250721678698e-15       2.454637204645e-13       0.000000000000e+00       1.698054129181e-10       1.671162411225e-11      -1.089567040303e-14 
   29       1.399835897454e-10       2.543102779330e-15       2.505471652941e-13       0.000000000000e+00       1.589077749683e-10       1.571444063296e-11      -8.529793109317e-15 
   30       1.421686093718e-10       2.861888463488e-15       2.546731181488e-13       0.000000000000e+00       1.489583403541e-10       1.479616318781e-11      -6.934238322916e-15 
   31       1.443936836825e-10       3.207794348906e-15       2.579289972483e-13       0.000000000000e+00       1.398828915827e-10       1.395852399692e-11      -6.277930227105e-15 
   32       1.466514800866e-10       3.581481415536e-15       2.603920883382e-13       0.000000000000e+00       1.315373984915e-10       1.319631009705e-11      -6.639224837814e-15 
   33       1.489414986135e-10       3.983890240034e-15       2.619614553750e-13       0.000000000000e+00       1.238761441368e-10       1.250286771986e-11      -7.675341960370e-15 
   34       1.512571312866e-10       4.416019400290e-15       2.624621063618e-13       0.000000000000e+00       1.168310222324e-10       1.186519862974e-11      -8.816798295898e-15 
   35       1.535867334717e-10       4.878818643760e-15       2.617138217132e-13       0.000000000000e+00       1.102968671122e-10       1.126686983654e-11      -9.490349448778e-15 
   36       1.559367684300e-10       5.373131661867e-15       2.596269796124e-13       0.000000000000e+00       1.042565654720e-10       1.070577042538e-11      -9.631478270164e-15 
   37       1.583151867133e-10       5.899726183973e-15       2.561384078380e-13       0.000000000000e+00       9.869105477193e-11       1.018170192244e-11      -9.345769526469e-15 
   38       1.607244517303e-10       6.459302889520e-15       2.511860417242e-13       0.000000000000e+00       9.354150350011e-11       9.691286395003e-12      -8.776746409294e-15 
   39       1.631629340171e-10       7.052516336093e-15       2.447222461636e-13       0.000000000000e+00       8.873049587968e-11       9.229645736486e-12      -8.087647932143e-15 
