# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.375226865861e-10       4.154694304500e-15       3.536460352419e-13       2.284687001882e-19       8.328295602263e-09       4.492237304581e-10      -1.843162407897e-12 
    3       1.302197451647e-10       5.319904049273e-15       3.965031682821e-13       4.570241993624e-19       5.100495096902e-09       3.176712013449e-10      -1.395155267607e-12 
    4       1.233130132640e-10       4.598988000025e-15       3.703425495651e-13       7.618984532853e-19       3.528617920089e-09       2.400627343313e-10      -9.131298108162e-13 
    5       1.181427373349e-10       3.066712943735e-15       3.151109511824e-13       1.143203239850e-18       2.623649115640e-09       1.893238120672e-10      -5.076000716112e-13 
    6       1.146042627337e-10       1.714463583681e-15       2.535855098505e-13       1.601074951239e-18       2.042949285356e-09       1.538257760825e-10      -2.090087562978e-13 
    7       1.123108000532e-10       9.267349063744e-16       1.989700180140e-13       2.135672492384e-18       1.643744960557e-09       1.278071076386e-10      -1.872394136182e-14 
    8       1.109840434832e-10       5.984343864580e-16       1.570343110771e-13       2.747174873283e-18       1.355344360907e-09       1.081035019468e-10       7.825848978154e-14 
    9       1.103784911239e-10       4.809092442216e-16       1.290076798842e-13       3.435778552022e-18       1.138986437302e-09       9.283431242035e-11       1.053074805880e-13 
   10       1.102722590146e-10       4.107473569515e-16       1.135469673412e-13       4.201694590477e-18       9.718286076219e-10       8.075086977859e-11       8.828862224737e-14 
   11       1.106030417137e-10       3.466608500732e-16       1.079762269497e-13       5.045145688136e-18       8.315343630449e-10       7.173678979155e-11       5.128697963477e-14 
   12       1.112276245923e-10       3.038347126068e-16       1.092314942994e-13       5.966363161057e-18       7.264195553211e-10       6.343262154260e-11       1.182604127962e-14 
   13       1.120945806301e-10       2.929371043226e-16       1.146101792173e-13       6.965583932732e-18       6.401397533899e-10       5.669358719560e-11      -1.817229895198e-14 
   14       1.131506069637e-10       3.060381970643e-16       1.220835123175e-13       8.043047601529e-18       5.683666529351e-10       5.080709127778e-11      -3.451139000226e-14 
   15       1.143887705257e-10       3.316444704467e-16       1.303498736618e-13       9.198993645539e-18       5.079658225394e-10       4.586468385607e-11      -3.737902955424e-14 
   16       1.157412443052e-10       3.674912360172e-16       1.387690843606e-13       1.043365882019e-17       4.566186231791e-10       4.161208357063e-11      -3.072531162386e-14 
   17       1.172246126327e-10       4.190057452124e-16       1.471995059976e-13       1.174727479706e-17       4.125775061666e-10       3.790501071031e-11      -1.973337817434e-14 
   18       1.187812125088e-10       4.914212695640e-16       1.557889556673e-13       1.314006599199e-17       3.743618150104e-10       3.466507631273e-11      -9.297403839500e-15 
   19       1.204227765195e-10       5.851016936712e-16       1.647399689530e-13       1.461224825928e-17       3.413516339968e-10       3.184970710727e-11      -1.998322074984e-15 
   20       1.221390370817e-10       6.981598820606e-16       1.742280751416e-13       1.616402642729e-17       3.122852947211e-10       2.935661000871e-11       4.945154079825e-16 
   21       1.239330365585e-10       8.299249657676e-16       1.842323420353e-13       1.779559467924e-17       2.867035258749e-10       2.713984852369e-11      -1.225962814237e-15 
   22       1.257816781494e-10       9.798451994914e-16       1.945850920546e-13       1.950713402374e-17       2.639885139772e-10       2.513854530409e-11      -5.396071369127e-15 
   23       1.276897218366e-10       1.148177334716e-15       2.049370428183e-13       2.129881425143e-17       2.438348094170e-10       2.334099778045e-11      -1.029321572552e-14 
   24       1.296486043028e-10       1.335267317102e-15       2.148385215810e-13       2.317079097025e-17       2.257808768665e-10       2.172874580597e-11      -1.409744376227e-14 
   25       1.316541345559e-10       1.541324262724e-15       2.239968510612e-13       2.512320817912e-17       2.095808336670e-10       2.028322925288e-11      -1.600598310003e-14 
   26       1.336907522600e-10       1.766663782051e-15       2.321786365862e-13       2.715619623776e-17       1.949166668000e-10       1.897293639328e-11      -1.568836546787e-14 
   27       1.357680601215e-10       2.012878976450e-15       2.393131909567e-13       2.926987864912e-17       1.817117436609e-10       1.778830048418e-11      -1.365237472945e-14 
   28       1.378879117958e-10       2.282185846250e-15       2.454018154712e-13       3.146436533441e-17       1.698054129181e-10       1.671162411225e-11      -1.089567040303e-14 
   29       1.400385611286e-10       2.576833687448e-15       2.504775545029e-13       3.373975283241e-17       1.589077749683e-10       1.571444063296e-11      -8.529793109317e-15 
   30       1.422268943018e-10       2.897963970201e-15       2.545952392539e-13       3.609613643764e-17       1.489583403541e-10       1.479616318781e-11      -6.934238322916e-15 
   31       1.444553580568e-10       3.246291824156e-15       2.578422838721e-13       3.853360151413e-17       1.398828915827e-10       1.395852399692e-11      -6.277930227105e-15 
   32       1.467166179944e-10       3.622477682218e-15       2.602959730924e-13       4.105222288664e-17       1.315373984915e-10       1.319631009705e-11      -6.639224837814e-15 
   33       1.490101719395e-10       4.027461554648e-15       2.618553729018e-13       4.365207600198e-17       1.238761441368e-10       1.250286771986e-11      -7.675341960370e-15 
   34       1.513294094064e-10       4.462241404959e-15       2.623454967065e-13       4.633322915168e-17       1.168310222324e-10       1.186519862974e-11      -8.816798295898e-15 
   35       1.536626830086e-10       4.927766319136e-15       2.615861339557e-13       4.909574333204e-17       1.102968671122e-10       1.126686983654e-11      -9.490349448778e-15 
   36       1.560164531307e-10       5.424879324908e-15       2.594876757284e-13       5.193968295212e-17       1.042565654720e-10       1.070577042538e-11      -9.631478270164e-15 
   37       1.583986672016e-10       5.954347454727e-15       2.559869667315e-13       5.486510859249e-17       9.869105477193e-11       1.018170192244e-11      -9.345769526469e-15 
   38       1.608117851970e-10       6.516870645291e-15       2.510219634445e-13       5.787207411805e-17       9.354150350011e-11       9.691286395003e-12      -8.776746409294e-15 
   39       1.632541740474e-10       7.113102671520e-15       2.445450564107e-13       6.096062843231e-17       8.873049587968e-11       9.229645736486e-12      -8.087647932143e-15 
   40       1.657264714055e-10       7.743734438849e-15       2.365684269971e-13       6.413082155696e-17       8.424319709030e-11       8.796868956064e-12      -7.392462248937e-15 
