# Matter power spectrum P(k) at redshift z=0
# for k=1.04889e-05 to 5.37596 h/Mpc,
# number of wavenumbers equal to 556
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.048886977774e-05       4.786007243156e+01 
       2.342204270784e-05       1.039007705640e+02 
       3.640105718161e-05       1.589932882431e+02 
       4.946111871362e-05       2.137193001174e+02 
       6.263801972698e-05       2.684123120844e+02 
       7.596846128738e-05       3.233238431810e+02 
       8.949038520338e-05       3.786700248520e+02 
       1.032433209431e-04       4.346507337179e+02 
       1.172687518515e-04       4.914594359396e+02 
       1.316105051850e-04       5.492891662863e+02 
       1.463151704876e-04       6.083367168334e+02 
       1.614325507641e-04       6.688059101295e+02 
       1.770161507183e-04       7.309104142125e+02 
       1.931237059325e-04       7.948763275022e+02 
       2.098177561658e-04       8.609446686121e+02 
       2.271662648162e-04       9.293738437576e+02 
       2.452432848306e-04       1.000442126187e+03 
       2.641296687419e-04       1.074450160266e+03 
       2.839138167684e-04       1.151723475592e+03 
       3.046924516828e-04       1.232614953022e+03 
       3.265714020512e-04       1.317507178868e+03 
       3.496663660366e-04       1.406814554031e+03 
       3.741036158664e-04       1.500985001666e+03 
       4.000205880349e-04       1.600501038925e+03 
       4.275662864015e-04       1.705879927104e+03 
       4.569014051659e-04       1.817672541535e+03 
       4.881980577572e-04       1.936460519498e+03 
       5.216389787492e-04       2.062851223953e+03 
       5.574160534547e-04       2.197469998473e+03 
       5.957280301327e-04       2.340949263303e+03 
       6.367772905677e-04       2.493914088844e+03 
       6.807656043632e-04       2.656964148792e+03 
       7.278888769496e-04       2.830652262329e+03 
       7.783310220830e-04       3.015460286884e+03 
       8.322572382517e-04       3.211773634989e+03 
       8.898071244673e-04       3.419856237182e+03 
       9.510882020523e-04       3.639828261172e+03 
       1.016170476725e-03       3.871649014399e+03 
       1.085082646072e-03       4.115107255926e+03 
       1.157810416938e-03       4.369820455218e+03 
       1.234297160105e-03       4.635243606326e+03 
       1.314446840515e-03       4.910686967331e+03 
       1.398128882312e-03       5.195314806310e+03 
       1.485184419090e-03       5.488236531959e+03 
       1.575433278491e-03       5.788505216628e+03 
       1.668681062928e-03       6.095131501011e+03 
       1.764725791874e-03       6.407123983935e+03 
       1.863363726947e-03       6.723512181745e+03 
       1.964394168534e-03       7.043364523968e+03 
       2.067623160891e-03       7.365801952481e+03 
       2.172866154514e-03       7.690006709183e+03 
       2.279949745735e-03       8.015227445987e+03 
       2.388712648566e-03       8.340781014834e+03 
       2.499006061415e-03       8.666051378288e+03 
       2.610693581018e-03       8.990487623807e+03 
       2.723650795866e-03       9.313600402981e+03 
       2.837764667655e-03       9.634956306066e+03 
       2.952932785726e-03       9.954175661603e+03 
       3.069062558351e-03       1.027092527197e+04 
       3.186070386900e-03       1.058491542780e+04 
       3.303880854680e-03       1.089589480156e+04 
       3.422425951243e-03       1.120364697924e+04 
       3.541644344716e-03       1.150798353392e+04 
       3.661480708790e-03       1.180874714413e+04 
       3.781885106830e-03       1.210580166453e+04 
       3.902812432751e-03       1.239903523777e+04 
       4.024221906486e-03       1.268835165476e+04 
       4.146076620801e-03       1.297367472099e+04 
       4.268343135591e-03       1.325493867167e+04 
       4.390991115588e-03       1.353209680089e+04 
       4.513993007400e-03       1.380510717022e+04 
       4.637323751930e-03       1.407394432705e+04 
       4.760960528474e-03       1.433858264626e+04 
       4.884882527076e-03       1.459900505971e+04 
       5.009070746011e-03       1.485522466035e+04 
       5.133507811564e-03       1.510723499515e+04 
       5.258177817583e-03       1.535503266372e+04 
