# z=0.4992 a=0.667006 mass=0.9230806993
# k [h/Mpc]  P(k) [(Mpc/h)^3]  Nmodes
1.77992824e-02  1.24989415e+08  13
3.01582443e-02  1.24970310e+08  33
4.28958037e-02  1.24940118e+08  79
5.56732155e-02  1.24899507e+08  117
6.87019957e-02  1.24847010e+08  205
8.09577352e-02  1.24787957e+08  235
9.35343337e-02  1.24716998e+08  369
1.06164502e-01  1.24635698e+08  433
1.18907249e-01  1.24543130e+08  585
1.31524496e-01  1.24441358e+08  679
1.43932658e-01  1.24331312e+08  813
1.56557218e-01  1.24209214e+08  985
1.69407979e-01  1.24074475e+08  1183
1.81937092e-01  1.23933114e+08  1269
1.94415796e-01  1.23782343e+08  1537
2.06952608e-01  1.23621035e+08  1653
2.19515289e-01  1.23449363e+08  1963
2.32108617e-01  1.23267412e+08  2121
2.44733933e-01  1.23074998e+08  2413
2.57363453e-01  1.22872603e+08  2635
2.69900160e-01  1.22661874e+08  2877
2.82389912e-01  1.22442292e+08  3169
2.95026715e-01  1.22210333e+08  3507
3.07573015e-01  1.21970389e+08  3685
3.20131509e-01  1.21720510e+08  4165
3.32798234e-01  1.21458847e+08  4377
3.45439129e-01  1.21188038e+08  4855
3.57953043e-01  1.20910524e+08  4929
3.70470738e-01  1.20623512e+08  5581
3.82961357e-01  1.20327891e+08  5679
3.95577974e-01  1.20019899e+08  6385
4.08187547e-01  1.19702760e+08  6553
4.20787861e-01  1.19376577e+08  7125
4.33381942e-01  1.19041418e+08  7447
4.45940056e-01  1.18698093e+08  7929
4.58524005e-01  1.18345059e+08  8353
4.71028302e-01  1.17985320e+08  8775
4.83582117e-01  1.17615331e+08  9313
4.96171308e-01  1.17235501e+08  9841
5.08698451e-01  1.16848774e+08  10191
5.21266850e-01  1.16452184e+08  10897
5.33851474e-01  1.16046450e+08  11301
5.46484669e-01  1.15630458e+08  12025
5.59105936e-01  1.15206456e+08  12423
5.71673258e-01  1.14775887e+08  13021
5.84175254e-01  1.14339267e+08  13405
5.96689969e-01  1.13894110e+08  14247
6.09276528e-01  1.13438313e+08  14713
6.21855825e-01  1.12974723e+08  15489
6.34433634e-01  1.12503100e+08  15913
6.47037514e-01  1.12022709e+08  16879
6.59633644e-01  1.11534812e+08  17193
6.72235286e-01  1.11039103e+08  18157
6.84740075e-01  1.10539438e+08  18339
6.97295639e-01  1.10030346e+08  19573
7.09882323e-01  1.09512722e+08  19941
7.22383387e-01  1.08991017e+08  20629
7.34953418e-01  1.08459800e+08  21655
7.47529559e-01  1.07920681e+08  22113
7.60130806e-01  1.07373888e+08  23185
7.72707972e-01  1.06820817e+08  23667
7.85228036e-01  1.06263705e+08  24385
7.97852900e-01  1.05695120e+08  25749
8.10414649e-01  1.05122830e+08  25675
8.22983296e-01  1.04543815e+08  27409
8.35562854e-01  1.03957596e+08  27405
8.48080130e-01  1.03368378e+08  28717
8.60685138e-01  1.02768695e+08  29595
8.73271712e-01  1.02163635e+08  30301
8.85799237e-01  1.01555744e+08  31101
8.98326884e-01  1.00942324e+08  32023
9.10882829e-01  1.00321110e+08  32977
9.23526894e-01  9.96901320e+07  34449
9.36128848e-01  9.90557980e+07  34549
9.48697049e-01  9.84180123e+07  36111
9.61271227e-01  9.77740598e+07  36541
9.73803852e-01  9.71275050e+07  37717
9.86339420e-01  9.64761328e+07  38619
9.98901349e-01  9.58177857e+07  39661
1.01143181e+00  9.51565559e+07  40545
1.02398480e+00  9.44893232e+07  41815
1.03662522e+00  9.38133640e+07  43125
1.04921793e+00  9.31350291e+07  43681
1.06175146e+00  9.24558848e+07  44629
1.07431471e+00  9.17706091e+07  46227
1.08691591e+00  9.10792270e+07  46909
1.09948613e+00  9.03860045e+07  48237
1.11198749e+00  8.96918892e+07  48583
1.12457094e+00  8.89905489e+07  50997
1.13720231e+00  8.82826573e+07  51397
1.14976092e+00  8.75749137e+07  52489
1.16231004e+00  8.68642969e+07  53787
1.17487890e+00  8.61500399e+07  54913
1.18743524e+00  8.54332475e+07  55977
1.19999439e+00  8.47128529e+07  57415
1.21253582e+00  8.39911803e+07  58105
1.22509392e+00  8.32660133e+07  60033
1.23769555e+00  8.25348828e+07  60949
1.25026211e+00  8.18036744e+07  62235
1.26280549e+00  8.10719933e+07  63229
1.27540071e+00  8.03349467e+07  65133
1.28797156e+00  7.95968693e+07  65707
1.30053708e+00  7.88569150e+07  67561
1.31311722e+00  7.81153867e+07  68505
1.32567386e+00  7.73724190e+07  69943
1.33823709e+00  7.66281257e+07  71097
1.35081404e+00  7.58811646e+07  73021
1.36336710e+00  7.51345562e+07  73317
1.37591851e+00  7.43876191e+07  75799
1.38846886e+00  7.36381992e+07  76021
1.40103508e+00  7.28873441e+07  78753
1.41362499e+00  7.21351866e+07  79291
1.42620380e+00  7.13822012e+07  81129
1.43878365e+00  7.06288799e+07  82441
1.45136676e+00  6.98740414e+07  83949
1.46393054e+00  6.91222419e+07  85123
1.47650160e+00  6.83673734e+07  86929
1.48905317e+00  6.76149613e+07  87789
1.50157422e+00  6.68636573e+07  89623
1.51415169e+00  6.61107821e+07  91341
1.52672825e+00  6.53564661e+07  92845
1.53929259e+00  6.46035627e+07  94087
1.55187897e+00  6.38509853e+07  96333
1.56446583e+00  6.30974841e+07  97249
1.57706299e+00  6.23458695e+07  99501
1.58957931e+00  6.15989591e+07  99283
1.60209822e+00  6.08535090e+07  102537
1.61467281e+00  6.01051407e+07  103477
1.62724590e+00  5.93587081e+07  105751
1.63983060e+00  5.86120479e+07  106869
1.65239053e+00  5.78705300e+07  108697
1.66497941e+00  5.71260368e+07  110577
1.67759186e+00  5.63840958e+07  112555
1.69012693e+00  5.56474842e+07  112593
1.70265657e+00  5.49140801e+07  115573
1.71523965e+00  5.41781695e+07  117283
1.72781170e+00  5.34460561e+07  118581
1.74036775e+00  5.27174984e+07  120625
1.75292822e+00  5.19904223e+07  121935
1.76550077e+00  5.12655594e+07  124441
1.77806655e+00  5.05425545e+07  125517
1.79061685e+00  4.98251196e+07  127357
1.80319130e+00  4.91080905e+07  129895
1.81576667e+00  4.83927588e+07  130701
1.82834882e+00  4.76825303e+07  133921
1.84092616e+00  4.69737843e+07  134187
1.85348688e+00  4.62702825e+07  137125
1.86606484e+00  4.55682746e+07  138457
1.87865316e+00  4.48695066e+07  140937
1.89119496e+00  4.41773887e+07  141367
1.90373200e+00  4.34886417e+07  144381
1.91628265e+00  4.28028143e+07  145549
1.92887019e+00  4.21188818e+07  149139
1.94147113e+00  4.14380838e+07  149641
1.95401615e+00  4.07640468e+07  151825
1.96656467e+00  4.00949230e+07  153453
1.97911394e+00  3.94283786e+07  155887
1.99169126e+00  3.87659416e+07  158121
2.00427242e+00  3.81070333e+07  159841
2.01680965e+00  3.74553465e+07  161175
2.02938830e+00  3.68045638e+07  164677
2.04198511e+00  3.61593996e+07  166057
2.05454796e+00  3.55186693e+07  167703
2.06711836e+00  3.48843551e+07  170269
2.07969511e+00  3.42532918e+07  172257
2.09225395e+00  3.36277832e+07  173653
2.10480687e+00  3.30084120e+07  176619
2.11736141e+00  3.23940219e+07  177565
2.12992867e+00  3.17834648e+07  181285
