# z=2.0049 a=0.332786 mass=0.9281823632
# k [h/Mpc]  P(k) [(Mpc/h)^3]  Nmodes
1.77992824e-02  4.55112434e+03  13
3.01582443e-02  3.61816003e+03  33
4.28958037e-02  2.69271199e+03  79
5.56732155e-02  2.09950923e+03  117
6.87019957e-02  1.79641430e+03  205
8.09577352e-02  1.49828391e+03  235
9.35343337e-02  1.20076625e+03  369
1.06164502e-01  9.60187781e+02  433
1.18907249e-01  8.39300654e+02  585
1.31524496e-01  7.36482952e+02  679
1.43932658e-01  6.43195985e+02  813
1.56557218e-01  5.43506145e+02  985
1.69407979e-01  4.65023830e+02  1183
1.81937092e-01  4.24364930e+02  1269
1.94415796e-01  3.84035252e+02  1537
2.06952608e-01  3.42369572e+02  1653
2.19515289e-01  3.05889374e+02  1963
2.32108617e-01  2.85904032e+02  2121
2.44733933e-01  2.64924032e+02  2413
2.57363453e-01  2.37813431e+02  2635
2.69900160e-01  2.17524274e+02  2877
2.82389912e-01  2.00856080e+02  3169
2.95026715e-01  1.88768878e+02  3507
3.07573015e-01  1.78929286e+02  3685
3.20131509e-01  1.59537328e+02  4165
3.32798234e-01  1.55010700e+02  4377
3.45439129e-01  1.42587182e+02  4855
3.57953043e-01  1.32334105e+02  4929
3.70470738e-01  1.28359700e+02  5581
3.82961357e-01  1.22966397e+02  5679
3.95577974e-01  1.13087271e+02  6385
4.08187547e-01  1.09157156e+02  6553
4.20787861e-01  1.03771304e+02  7125
4.33381942e-01  9.74369151e+01  7447
4.45940056e-01  9.27771592e+01  7929
4.58524005e-01  9.03814846e+01  8353
4.71028302e-01  8.38017297e+01  8775
4.83582117e-01  8.11382981e+01  9313
4.96171308e-01  7.84596071e+01  9841
5.08698451e-01  7.41707443e+01  10191
5.21266850e-01  7.11366251e+01  10897
5.33851474e-01  6.87405374e+01  11301
5.46484669e-01  6.57006654e+01  12025
5.59105936e-01  6.43590827e+01  12423
5.71673258e-01  6.04678275e+01  13021
5.84175254e-01  5.92092676e+01  13405
5.96689969e-01  5.79934075e+01  14247
6.09276528e-01  5.43442468e+01  14713
6.21855825e-01  5.34758100e+01  15489
